"","x"
"457",239550200
"458",235007880
"459",205278890
"460",224989000
"461",373568000
"462",566192000
"463",538011175
"464",269057637
"465",215211000
"466",232044985
"467",636018724
"468",244660720
"469",369567000
"470",352005361
"471",370383000
"472",244690485
"473",244181288
"474",209216000
"475",566449000
"476",235108528
"477",352006076
"478",266273000
"479",538005201
"480",538005088
"481",319025300
"482",566608000
"483",257667000
"484",232012089
"485",538007462
"486",311001600
"487",636020423
"488",538002783
"489",249222000
"490",244620990
"491",269057773
"492",249512000
"493",338617000
"494",574005510
"495",236744000
"496",220624000
"497",241518000
"498",353973000
"499",563079500
"500",244660111
"501",431014116
"502",256338000
"503",256197000
"504",271050337
"505",244333000
"506",253242033
"507",244660908
"508",667001378
"509",477345700
"510",215497000
"511",244660639
"512",215013000
"513",269057726
"514",311027600
"515",565472000
"516",366508000
"517",211697170
"518",563009700
"519",244670290
"520",352980842
"521",247256600
"522",255893000
"523",244000046
"524",211472260
"525",269057091
"526",228421700
"527",244650993
"528",244010774
"529",240708000
"530",244016188
"531",574401000
"532",244690787
"533",636093099
"534",538010289
"535",210613000
"536",255915968
"537",244670209
"538",636019181
"539",241349000
"540",244750252
"541",538007007
"542",371737000
"543",564892000
"544",371135000
"545",211555980
"546",273456730
"547",477900100
"548",563180400
"549",244725543
"550",366341000
"551",244660393
"552",538007042
"553",265550210
"554",241675000
"555",352781000
"556",244740035
"557",525801569
"558",419002038
"559",256656000
"560",247149100
"561",244038063
"562",269057747
"563",241733000
"564",210945000
"565",367353110
"566",244149513
"567",219018272
"568",538002947
"569",244255063
"570",563233500
"571",538002622
"572",236385000
"573",240718000
"574",538010878
"575",265610040
"576",636023427
"577",215902000
"578",211285530
"579",205524290
"580",211888150
"581",570294000
"582",563221400
"583",244672781
"584",241463000
"585",311001591
"586",567002780
"587",319591000
"588",205240890
"589",249930000
"590",244650746
"591",241747000
"592",229370000
"593",215698000
"594",248020000
"595",538006366
"596",563271400
"597",563034300
"598",636012629
"599",257008000
"600",275525000
"601",564334000
"602",352003729
"603",210620000
"604",266471000
"605",205508590
"606",563144100
"607",219212000
"608",413513510
"609",352002782
"610",258764000
"611",219029722
"612",563265500
"613",351578000
"614",538011174
"615",211888200
"616",244700045
"617",477997187
"618",244670173
"619",215760000
"620",244994000
"621",245889000
"622",257081000
"623",367703000
"624",352006139
"625",525107016
"626",356958000
"627",211792750
"628",244013009
"629",538005177
"630",244630027
"631",244083478
"632",211188880
"633",232007939
"634",304050982
"635",316050854
"636",240827000
"637",244670169
"638",256346000
"639",244670860
"640",228420800
"641",572572220
"642",265797830
"643",244797142
"644",636023947
"645",261037120
"646",235094449
"647",538003566
"648",237943800
"649",240493000
"650",219671000
"651",304067000
"652",240043800
"653",244313877
"654",244001539
"655",211201080
"656",211664180
"657",244660655
"658",538003850
"659",247373700
"660",205245990
"661",538007621
"662",244810759
"663",367221000
"664",205369090
"665",269057062
"666",235040503
"667",249435000
"668",636024112
"669",431005321
"670",256160000
"671",244000730
"672",211522820
"673",237009100
"674",244375332
"675",211550500
"676",255915981
"677",228446800
"678",245911000
"679",269057352
"680",566579000
"681",211523460
"682",258714000
"683",636019203
"684",249579000
"685",210765000
"686",241794000
"687",668116338
"688",244660513
"689",352001852
"690",247086400
"691",563086060
"692",370159000
"693",229957000
"694",244700853
"695",209275000
"696",244670291
"697",566066000
"698",240132000
"699",319301000
"700",255806303
"701",244710871
"702",211510430
"703",244710866
"704",244110352
"705",244722317
"706",525109016
"707",563085870
"708",211472070
"709",241750000
"710",211486980
"711",538011488
"712",248127000
"713",538010142
"714",259001980
"715",257684000
"716",244750840
"717",305043000
"718",256885000
"719",244137325
"720",211509670
"721",477938600
"722",211789680
"723",209223000
"724",248439000
"725",244050175
"726",249362000
"727",636016407
"728",219407000
"729",352005603
"730",351104000
"731",244723788
"732",538009715
"733",244690078
"734",563271300
"735",244690864
"736",247077500
"737",257941000
"738",261182515
"739",253242286
"740",538010356
"741",265007000
"742",244740681
"743",566241000
"744",227681520
"745",241796000
"746",671552100
"747",211226450
"748",244690453
"749",574005850
"750",235070283
"751",210445000
"752",538009638
"753",366962000
"754",209969000
"755",305007000
"756",538006547
"757",244670298
"758",352002612
"759",244740507
"760",240388000
"761",538011891
"762",205420690
"763",229580000
"764",249567000
"765",636017739
"766",211735640
"767",244670210
"768",257706000
"769",636017970
"770",205703000
"771",319297100
"772",538008271
"773",636022087
"774",211262590
"775",316031773
"776",538002221
"777",224451000
"778",211468560
"779",211428750
"780",255832000
"781",211729530
"782",247287200
"783",538009930
"784",235112065
"785",566842000
"786",226009040
"787",249230000
"788",231917000
"789",566540000
"790",244660820
"791",636020224
"792",244690475
"793",367353080
"794",247270900
"795",240942000
"796",211455300
"797",563211600
"798",248043000
"799",352004308
"800",257968000
"801",247296800
"802",205218590
"803",244660827
"804",311000820
"805",244374114
"806",352004563
"807",244372228
"808",244370444
"809",269057628
"810",244750306
"811",244790535
"812",244000876
"813",249607000
"814",244000543
"815",244870428
"816",244780387
"817",244660423
"818",211333700
"819",636015007
"820",477995928
"821",257230800
"822",215905000
"823",356159000
